序号,建设任务,责任部门,统采项目名称,公示情况,预算金额_万元,需求书报送双高办时间,4_30前应报送需求书,提交需求论证申请,安排论证及费用计划,上院务党委会讨论,项目提交用款审批,纪委报备,签订委托代理协议,编制政采计划,上报政采计划,招标文件制定及发公告,公告期,执行采购发布公告,中标金额_万元,签订采购合同,制作周期,验收时间,验收地点,备注
1,产教融合实践中心项目,海备系,开放型产教融合实践中心实训数字化教学资源开发项目,无需公示,20.0,,,,,,,,,,,,,,,,,,,
2,产教融合实践中心项目,海备系,运维中心教学资源开发项目,无需公示,20.0,,,,,,,,,,,,,,,,,,,
3,产教融合实践中心项目,海备系,制造中心教学资源开发项目,无需公示,20.0,,,,,,,,,,,,,,,,,,,
4,产教融合实践中心项目,海备系,船舶与海洋工程装备焊接设计工作站建设项目,已公示,67.0,2026-06-05,,,,,,,,,,,,,,,,,,
5,产教融合实践中心项目,海备系,船舶与海洋工程装备X-射线残余应力分析平台建设项目,已公示,155.0,2026-05-26,2026-06-17,2026-06-17,2026-06-18,,,,,,,,,,,,,,,
6,产教融合实践中心项目,海备系,船舶与海洋工程装备制造中心材料理化分析实训设备采购项目,已公示,55.0,2026-05-22,2026-06-23,2026-06-25,2026-06-26,,,,,,,,,,,,,,,
7,产教融合实践中心项目,海备系,船舶与海洋工程装备运维中心力学性能测试实训设备采购项目,已公示,85.0,2026-05-22,2026-06-23,2026-06-25,2026-06-26,,,,,,,,,,,,,,,
8,产教融合实践中心项目,海备系,船舶与海洋工程装备手工焊接虚拟仿真实训平台建设项目,已公示,125.0,2026-06-04,2026-06-29,2026-06-30,,,,,,,,,,,,,,,,
9,产教融合实践中心项目,海备系,船舶与海洋工程装备船舶焊接设计软件采购项目,已公示,93.0,2026-06-08,,,,,,,,,,,,,,,,,,
